1274|0|START1234|0|START3337|1|0.0|99439.36|27.77
3846|1|-0.0105691|99439.48|27.77
4355|1|-0.02642274|99439.66|27.78
4859|1|0.1426828|99437.67|27.78
5359|1|0.03170729|99439.0|27.78
5873|1|0.03170729|99439.0|27.78
6383|1|0.1981705|99437.02|27.78
6897|1|0.1426828|99437.67|27.78
1304|0|START3408|1|0.0|99439.27|27.74
3917|1|-0.0105691|99439.42|27.75
4425|1|-0.02642274|99439.56|27.75
4939|1|-0.07926822|99440.23|27.75
5448|1|-0.1373982|99440.89|27.75
5952|1|-0.07926822|99440.23|27.75
6455|1|-0.1532519|99441.05|27.76
6963|1|-0.163821|99441.19|27.76
7467|1|0.01585364|99439.07|27.76
7972|1|-0.02642274|99439.56|27.75
1309|0|START3519|1|0.0|99440.06|29.59
4101|1|0.1109755|99438.75|29.59
4611|1|0.0|99440.06|29.59
5114|1|-0.01585364|99440.23|29.6
5626|1|-0.06869912|99440.89|29.6
6129|1|0.08719503|99439.03|29.6
6632|1|-0.09512186|99441.17|29.61
7135|1|0.01849592|99439.85|29.61
7647|1|-0.02642274|99440.36|29.6
8150|1|0.03170729|99439.7|29.6
8654|1|0.0|99440.06|29.59
9157|1|0.06605685|99439.28|29.59
9670|1|0.134756|99438.46|29.58
10171|1|0.1506096|99438.3|29.58
10672|1|0.02378047|99439.78|29.58
11178|1|0.0105691|99439.94|29.59
11687|1|-0.07926822|99441.02|29.6
12198|1|-0.1532519|99441.84|29.61
12711|1|-0.06869912|99440.89|29.6
13212|1|-0.06869912|99440.89|29.6
13720|1|-0.1268291|99441.55|29.6
14233|1|-0.1796746|99442.2|29.6
14746|1|-0.1796746|99442.2|29.6
15252|1|-0.1796746|99442.2|29.6
15753|1|-0.2483737|99443.0|29.6
16256|1|-0.2642274|99443.16|29.61
16763|1|-0.2642274|99443.16|29.61
17271|1|-0.2642274|99443.16|29.61
17776|1|-0.3170729|99443.82|29.61
18282|1|-0.2642274|99443.16|29.61
18796|1|-0.2747965|99443.29|29.61
19304|1|-0.2695119|99443.22|29.63
19813|1|-0.3117883|99443.73|29.63
20318|1|-0.3117883|99443.73|29.63
20825|1|-0.2536583|99443.06|29.63
21331|1|-0.2536583|99443.06|29.63
21840|1|-0.1426828|99441.75|29.63
22349|1|-0.1004064|99441.23|29.63
22859|1|-0.221951|99442.68|29.64
23363|1|-0.05284548|99440.7|29.64
23869|1|-0.1268291|99441.53|29.64
24376|1|-0.1373982|99441.69|29.65
24880|1|-0.2008128|99442.46|29.65
25391|1|-0.1479673|99441.8|29.65
25898|1|-0.163821|99441.97|29.66
26411|1|-0.04756093|99440.64|29.66
26915|1|-0.1743901|99442.09|29.66
27424|1|-0.1743901|99442.09|29.66
27925|1|-0.07398367|99440.92|29.67
28430|1|-0.09512186|99441.2|29.68
28937|1|-0.2113819|99442.53|29.68
29443|1|-0.1532519|99441.88|29.68
29947|1|-0.1532519|99441.88|29.68
30453|1|-0.1109755|99441.36|29.68
30959|1|-0.1743901|99442.15|29.69
31466|1|0.04756093|99439.5|29.69
31971|1|-0.07926822|99440.98|29.69
32475|1|-0.08983731|99441.14|29.7
32978|1|-0.1479673|99441.81|29.7
33484|1|-0.03699183|99440.48|29.7
33992|1|-0.1585364|99441.94|29.7
34498|1|-0.05813003|99440.77|29.71
35004|1|-0.1268291|99441.55|29.71
35517|1|-0.05813003|99440.77|29.71
36112|1|-0.1373982|99441.71|29.72
36619|1|-0.1955283|99442.37|29.72
37130|1|-0.2113819|99442.52|29.72
37637|1|-0.05284548|99440.67|29.73
38143|1|-0.163821|99441.99|29.73
38654|1|-0.163821|99441.99|29.73
39165|1|-0.1321137|99441.63|29.74
39671|1|-0.1321137|99441.63|29.74
40181|1|-0.1321137|99441.63|29.74
40692|1|-0.1321137|99441.63|29.74
41193|1|-0.2166665|99442.59|29.75
41701|1|-0.3382111|99444.03|29.75
42215|1|-0.4491866|99445.36|29.75
42729|1|-0.4174793|99444.98|29.76
43232|1|-0.1373982|99441.67|29.76
43739|1|-0.2060974|99442.5|29.77
44250|1|-0.327642|99443.94|29.77
44760|1|-0.1585364|99441.95|29.77
45272|1|-0.1743901|99442.12|29.78
45780|1|-0.2325201|99442.78|29.78
46289|1|-0.2430892|99442.94|29.78
46791|1|-0.3012192|99443.59|29.78
47304|1|-0.2430892|99442.94|29.78
47815|1|-0.2642274|99443.2|29.79
48328|1|-0.08455276|99441.06|29.79
48839|1|-0.1004064|99441.23|29.79
